#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-10B4084C2FDB0202-2D08B8282D167629
#datatype	hitsConcise Results
#status	0
#Start time	2025-02-01T21:13:50	Run time	0:00:09:08
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#62 - WP_055490826	specific	440400	57	467	1.33396e-110	333.687	COG0635	HemN	 - 	cl33986
Q#63 - WP_014677041	specific	440400	39	465	1.55962e-110	333.302	COG0635	HemN	 - 	cl33986
Q#64 - WP_025117272	specific	236187	11	500	0	760.956	PRK08207	PRK08207	 - 	cl35660
Q#65 - Q796V8	specific	236187	3	495	0	824.129	PRK08207	PRK08207	 - 	cl35660
Q#66 - CON04352	specific	236187	3	495	0	824.129	PRK08207	PRK08207	 - 	cl35660
Q#67 - WP_010233508	specific	236187	3	473	0	685.842	PRK08207	PRK08207	 - 	cl35660
Q#68 - WP_007286255	specific	274910	84	485	0	678.185	TIGR03994	rSAM_HemZ	 - 	cl37364
Q#69 - WP_039679463	specific	236187	2	490	0	685.457	PRK08207	PRK08207	 - 	cl35660
Q#70 - AFK50646	specific	440400	35	428	9.92347e-74	237.002	COG0635	HemN	 - 	cl33986
Q#71 - ESQ25637	specific	440400	1	359	2.00879e-73	233.535	COG0635	HemN	 - 	cl33986
Q#72 - AFZ70518	superfamily	181509	35	400	1.91343e-93	287.339	cl32313	PRK08629 superfamily	 - 	 - 
Q#73 - CCC80926	superfamily	440400	24	384	6.68767e-66	215.431	cl33986	HemN superfamily	 - 	 - 
Q#74 - ABM80220	superfamily	440400	59	350	3.72114e-58	195.785	cl33986	HemN superfamily	 - 	 - 
Q#75 - WP_055408506	superfamily	440400	40	392	4.44027e-58	195.785	cl33986	HemN superfamily	 - 	 - 
Q#76 - AEM37888	superfamily	440400	32	337	9.34142e-62	203.875	cl33986	HemN superfamily	 - 	 - 
Q#77 - WP_011998375	superfamily	440400	34	300	1.12574e-49	171.903	cl33986	HemN superfamily	C	 - 
Q#78 - WP_014025565	superfamily	440400	32	337	9.34142e-62	203.875	cl33986	HemN superfamily	 - 	 - 
Q#79 - CBL03906	superfamily	181509	5	420	2.25898e-178	504.591	cl32313	PRK08629 superfamily	 - 	 - 
Q#80 - WP_011138079(Warning: this sequence record may be obsolete or preliminary)	specific	181509	21	453	0	700.658	PRK08629	PRK08629	 - 	cl32313
Q#81 - WP_028766718	specific	181509	9	442	0	797.343	PRK08629	PRK08629	 - 	cl32313
Q#82 - EGG57223	superfamily	181509	22	448	0	619.381	cl32313	PRK08629 superfamily	 - 	 - 
Q#83 - CBL03906	superfamily	181509	5	420	2.25898e-178	504.591	cl32313	PRK08629 superfamily	 - 	 - 
Q#84 - WP_009962340	specific	440400	56	437	4.76044e-104	314.812	COG0635	HemN	 - 	cl33986
Q#85 - EAQ77478	specific	440400	30	430	9.5233e-117	346.784	COG0635	HemN	 - 	cl33986
Q#86 - KLU03830	specific	440400	51	442	1.11968e-123	364.888	COG0635	HemN	 - 	cl33986
Q#87 - ADB19145	specific	440400	30	427	1.80696e-123	364.118	COG0635	HemN	 - 	cl33986
Q#88 - ACD05922	specific	440400	1	368	1.83129e-149	427.676	COG0635	HemN	 - 	cl33986
Q#89 - ALA58796	specific	440400	1	379	2.40295e-153	437.691	COG0635	HemN	 - 	cl33986
Q#90 - CUW28423	specific	440400	28	410	7.55998e-174	491.233	COG0635	HemN	 - 	cl33986
Q#91 - KOX89034	specific	440400	1	368	1.04745e-130	379.911	COG0635	HemN	 - 	cl33986
Q#92 - WP_052195205(Warning: this sequence record may be obsolete or preliminary)	specific	440400	17	391	3.80483e-135	392.237	COG0635	HemN	 - 	cl33986
Q#93 - ADI13526	specific	440400	3	369	1.39253e-120	354.488	COG0635	HemN	 - 	cl33986
Q#94 - WP_062189862	specific	440400	5	370	8.83328e-161	457.336	COG0635	HemN	 - 	cl33986
Q#95 - EFH90847	specific	440400	29	414	2.05472e-177	500.478	COG0635	HemN	 - 	cl33986
Q#96 - WP_014433607	specific	440400	1	402	0	523.975	COG0635	HemN	 - 	cl33986
Q#97 - ACM05800	specific	440400	7	400	0	527.827	COG0635	HemN	 - 	cl33986
Q#98 - WP_039744988	specific	440400	1	383	1.23938e-171	484.3	COG0635	HemN	 - 	cl33986
Q#99 - ACU91423	specific	440400	3	377	4.11552e-167	473.129	COG0635	HemN	 - 	cl33986
Q#100 - EFV43164	specific	440400	3	376	5.86859e-164	464.655	COG0635	HemN	 - 	cl33986
Q#101 - WP_015946007(Warning: this sequence record may be obsolete or preliminary)	specific	440400	3	379	1.08141e-161	461.958	COG0635	HemN	 - 	cl33986
Q#102 - WP_015898519	specific	440400	2	386	2.13599e-134	390.311	COG0635	HemN	 - 	cl33986
Q#103 - ACX75702	specific	440400	2	376	7.3823e-117	344.858	COG0635	HemN	 - 	cl33986
Q#104 - WP_013008727	specific	440400	2	352	7.73873e-115	339.08	COG0635	HemN	 - 	cl33986
Q#105 - EDM26343	specific	440400	9	370	7.95322e-129	375.288	COG0635	HemN	 - 	cl33986
Q#106 - ALD66217	specific	440400	13	370	7.62984e-124	362.577	COG0635	HemN	 - 	cl33986
Q#107 - AFG37251	specific	440400	24	411	6.87882e-115	342.161	COG0635	HemN	 - 	cl33986
Q#108 - ACV39949	specific	440400	11	436	2.14236e-138	402.252	COG0635	HemN	 - 	cl33986
Q#109 - ADO82048	specific	440400	4	359	1.56849e-147	422.283	COG0635	HemN	 - 	cl33986
Q#110 - ERT66913	specific	440400	4	358	1.98782e-145	416.89	COG0635	HemN	 - 	cl33986
Q#111 - ACK42388	specific	440400	3	377	1.96835e-173	488.537	COG0635	HemN	 - 	cl33986
Q#112 - ACI19107	specific	440400	1	377	1.81519e-174	491.233	COG0635	HemN	 - 	cl33986
Q#113 - EGG81213	specific	440400	1	381	3.95756e-178	500.863	COG0635	HemN	 - 	cl33986
Q#114 - AGB18790	specific	440400	5	375	7.27035e-173	487.381	COG0635	HemN	 - 	cl33986
Q#115 - WP_036947005	specific	440400	1	380	4.30549e-170	480.448	COG0635	HemN	 - 	cl33986
Q#116 - YP_001255455(Warning: this sequence record may be obsolete or preliminary)	specific	440400	4	382	5.94411e-163	462.343	COG0635	HemN	 - 	cl33986
Q#117 - CAB61616	specific	129630	2	366	0	585.334	TIGR00539	hemN_rel	 - 	cl31013
Q#118 - WP_010735215	specific	440400	12	387	2.24353e-175	494.315	COG0635	HemN	 - 	cl33986
Q#119 - WP_038057790	specific	440400	4	379	1.6628e-134	390.311	COG0635	HemN	 - 	cl33986
Q#120 - AIH03372	specific	440400	6	377	9.81306e-138	398.015	COG0635	HemN	 - 	cl33986
Q#121 - WP_000239943	specific	440400	1	378	1.48692e-178	501.634	COG0635	HemN	 - 	cl33986
